word,sentence,answer,user_language,definition_fr,etymology,tense
abandonner,Elles _____ leurs vieux vêtements à la charité.,abandonnent,abandonner,"Laisser quelque chose ou quelqu'un, s'en éloigner ou cesser de s'en occuper. Renoncer à quelque chose.","Du latin ad + bannum (interdiction, bannissement), par l'ancien français abandoner.",présent
abri,"Pendant l'orage, les enfants ont trouvé un _____ sous les arbres.",abri,abri,Un lieu qui protège des intempéries ou du danger. C'est un endroit où on peut se réfugier.,"De l'ancien français ""abrier"", du bas latin *apricare signifiant ""protéger, mettre à l'abri"".",passé composé
abruti,"Après avoir regardé la télévision pendant dix heures, mon frère était complètement _____.",abruti,abruti,"Abruti signifie rendu stupide ou hébété, généralement par la fatigue, l'alcool ou l'excès de stimulation. C'est un état d'abrutissement où la personne ne peut plus penser clairement.","Du verbe abrutir, dérivé de brut avec le préfixe a-, signifiant littéralement « rendre brut » ou « rendre stupide ».",imparfait
absence,L'_____ de mon professeur hier a surpris toute la classe.,absence,absence,Le fait de ne pas être présent à un endroit où on devrait être. C'est l'état de quelqu'un qui n'est pas là.,"Du latin absentia, dérivé de abesse (être absent), composé de ab- (loin de) et esse (être).",passé composé
absolument,Tu dois _____ terminer tes devoirs avant de sortir ce soir.,absolument,absolument,"Adverbe signifiant de manière certaine, sans aucun doute, ou de façon complète et totale. Il exprime une certitude ou une obligation incontestable.","Du latin absolutus, participe passé d'absolvere (délier, achever), composé de ab- (loin de) et solvere (délier, résoudre).",présent
accepter,Marie _____ l'invitation à la fête de son amie.,accepte,accepter,Consentir à recevoir quelque chose ou à faire quelque chose qu'on nous propose. Dire oui à une demande ou une offre.,"Du latin acceptare, fréquentatif d'accipere (recevoir), composé de ad- (à) et capere (prendre).",présent
accident,"Hier soir, il y a eu un _____ grave sur l'autoroute.",accident,accident,Un événement soudain et involontaire qui cause des dommages ou des blessures. C'est un fait non prévu qui survient de manière inopinée.,"Du latin accidere (advenir, arriver), composé de ad- (à) et cadere (tomber, survenir).",passé composé
accompagner,Ma mère _____ mon frère à l'aéroport demain matin.,va accompagner,accompagner,Aller avec quelqu'un pour le soutenir ou partager son trajet. Faire une action en même temps qu'une autre personne.,"Du latin « ad » (à, vers) et « companio » (compagnon), littéralement « aller avec ».",futur proche
accusation,L'avocat a rejeté les _____ contre son client.,accusations,accusation,Action d'accuser quelqu'un d'avoir commis une faute ou un crime ; déclaration portant cette imputation. C'est l'acte de reprocher à quelqu'un une action répréhensible.,"Du latin accusatio, dérivé du verbe accusare (accuser), composé de ad- (vers) et causa (cause, procès).",passé composé
accuser,Elle _____ son collègue d'avoir volé le projet.,va accuser,accuser,"Déclarer que quelqu'un est responsable d'une faute, d'un crime ou d'une action répréhensible. Imputer quelque chose à quelqu'un.","Du latin accusare, composé de ad- (à) et causari (causer, exposer les raisons), lui-même dérivé de causa (cause, raison).",futur proche
accès,Les étudiants ont besoin d'un _____ à la bibliothèque pour emprunter des livres.,accès,accès,La possibilité d'entrer ou d'utiliser quelque chose. C'est le droit ou la facilité d'atteindre un lieu ou une ressource.,"Du latin « accessus », participe passé du verbe « accedere » (s'approcher de, aller vers).",présent
acheter,Ma mère _____ des légumes frais au marché chaque samedi.,achète,acheter,Acquérir quelque chose en échange d'argent. C'est l'action de se procurer un bien ou un service auprès d'un vendeur.,"Du latin vulgaire *accaptare, dérivé de ad + captare (saisir, essayer de prendre).",présent
acte,L'avocat a présenté un _____ important devant le tribunal hier.,acte,acte,Un acte est un document officiel ou légal qui constate un fait juridique. C'est aussi une action ou une deed accomplie par une personne.,"Du latin actus, participe passé d'agere (faire, agir).",passé composé
acteur,Mon frère est _____ dans plusieurs films de science-fiction.,acteur,acteur,"Personne qui joue un rôle dans une pièce de théâtre, un film ou une série télévisée. C'est un professionnel du spectacle qui interprète des personnages.","Du latin ""actor"" (celui qui agit), dérivé de ""agere"" (agir).",présent
action,Les employés ont lancé une _____ pour améliorer les conditions de travail.,action,action,"Une action est un acte, une chose faite ou à faire pour atteindre un objectif. C'est aussi une part d'une société commerciale ou une valeur mobilière.","Du latin actio, dérivé de agere (faire, agir).",passé composé
adieu,Marie a dit _____ à ses amis avant de partir pour l'Amérique.,adieu,adieu,"Formule de politesse pour se séparer de quelqu'un, généralement de façon définitive ou pour longtemps. C'est un souhait de bonne fortune en se quittant.","Du latin « ad Deum » (vers Dieu), souhaite que Dieu accompagne la personne qui part.",passé composé
admettre,Je _____ que j'ai commis une erreur dans mon devoir.,admets,admettre,"Reconnaître quelque chose comme vrai ou exact, souvent avec une certaine réticence. Accepter ou permettre l'entrée de quelqu'un ou quelque chose.","Du latin admittere, composé de ad- (à) et mittere (envoyer, laisser aller).",présent
adorable,Les chatons de ma voisine sont vraiment _____.,adorables,adorable,"Qui inspire de l'affection, de la tendresse ou de l'admiration par son charme. Qui est extrêmement mignon ou attachant.","De l'ancien français ""adorable"", du latin ""adorabilis"", de ""adorare"" (adorer).",présent
adorer,Les enfants _____ jouer dans le parc après l'école.,adorent,adorer,Aimer beaucoup quelque chose ou quelqu'un avec passion. C'est éprouver un amour intense et sincère pour une personne ou une activité.,"Du latin ""adorare"", signifiant « s'adresser à, prier », de ""ad-"" (à) et ""orare"" (parler, prier).",présent
adresse,Elle va noter la _____ de son ami sur un papier.,adresse,adresse,"L'adresse est le lieu où habite une personne, généralement composé du numéro de rue, du nom de la rue, du code postal et de la ville.","Du latin médiéval 'adresse', dérivé du verbe 'adresser' signifiant 'diriger vers'.",futur proche
adulte,Mon père est devenu _____ à l'âge de vingt ans.,adulte,adulte,Une personne qui a atteint l'âge légal de majorité et qui a terminé sa croissance physique. C'est un individu responsable et autonome capable de prendre des décisions importantes.,"Du latin ""adulatus"", participe passé d'""adolescere"" (croître, grandir), formé de ""ad-"" (vers) et ""olescere"" (grandir).",passé composé
affaire,Marie doit régler cette _____ importante avant la fin de la semaine.,affaire,affaire,"Une affaire est une situation, une question ou une entreprise commerciale qui nécessite attention. C'est aussi un ensemble d'objets ou de faits relatifs à une même situation.","Du latin « ad facere » (à faire), passé par l'ancien français « afaire ».",présent
affreux,"Ce film était vraiment _____, je n'ai pas aimé du tout.",affreux,affreux,"Qui est extrêmement désagréable, horrible ou de très mauvaise qualité. Qui inspire une grande répugnance ou une forte aversion.","Du latin 'affricosus', dérivé de 'affricare' (frotter contre), avec influence du latin 'afferrare' (saisir). Le sens de 'horrible' s'est développé au Moyen Âge.",imparfait
affronter,Les deux athlètes _____ dans la finale de demain.,vont s'affronter,affronter,Faire face à quelqu'un ou à quelque chose avec courage ou audace. Rencontrer un adversaire ou un défi de manière directe.,"Du latin affrontare, composé de ad (à) et de frons (front), signifiant littéralement « aller au-devant de ».",futur proche
afin,Elle va à la bibliothèque _____ de trouver un livre sur l'histoire.,afin,afin,Conjonction exprimant le but ou l'intention d'une action. Elle introduit une proposition subordonnée de but.,"Du latin « ad finem » (vers la fin), composé de « ad » (à, vers) et « finem » (la fin, l'objectif).",futur proche
